shobi_code,inspired_by,resolution,evidence,note
2085-CLIV,X NEROLI LIMITED EDITION - CLIVE CHRISTIAN,REAL_FRAGRANCE_MISSING_FRAGRANTICA_PAGE,https://www.clivechristian.com/blogs/new-collection-launch/a-blossoming-story,"Official Clive Christian source confirms X Neroli Limited Edition is a genuine 2020 perfume; Fragrantica forum records a later request to add the missing fragrance, so no fabricated ID should be assigned."
2816-MOOD,Blonde Maracuja Mood London,REAL_FRAGRANCE_MISSING_FRAGRANTICA_BRAND,https://www.mood.london/products/blonde-maracuja-100ml,"Official Mood London product confirms Blonde Maracuja is real. Fragrantica missing-brand request threads still requested Mood London in 2025-2026, so there is no legitimate Fragrantica perfume ID to assign yet."
,Mukhallat Al Emirates Al Haramain Original,REAL_FRAGRANCE_MISSING_FRAGRANTICA_PAGE,https://www.fragrantica.com/board/viewtopic.php?id=66784,"Mukhallat Al Emirates is a real Al Haramain perfume oil/attar; Fragrantica community documentation explicitly lists it as not present in the database. No ID should be invented."
330-PG,oriental blossom pg,HOUSEHOLD_FRAGRANCE_BRAND_MISMATCH,https://www.marketingweek.com/pg-plots-fresh-variant-for-daz-to-see-off-rival-surf/,"Oriental Blossom is documented as a Surf laundry-detergent fragrance variant relaunched by Unilever, not a P&G personal perfume. Shobi's PG attribution is therefore not suitable for a Fragrantica perfume mapping."
326-PECK,calm pecksniff s,NON_PERSONAL_PRODUCT,https://zh.gilchristsoames.com/our-products/retail-brands-gb/pecksniffs-2/,"Gilchrist & Soames documents Pecksniff's Mood Therapy Calm as a guest/body-care line with Calm Body Lotion and soaps, with the same orange, mandarin, coriander, nutmeg and geranium scent profile. It is not a standalone personal perfume."
,WHITE MUSK Perfume,SHOBI_ORIGINAL_GENERIC,https://leparfum.com.gr/en/fragrances-for-women/white-musk-perfume,"The Shobi master explicitly labels Prestashop product 999 as WHITE MUSK Shobi Perfume with no external inspired-by brand or perfume. The previous Al Haramain inference is false; do not choose among unrelated Fragrantica White Musk entries."
,Dopamine Arabic Perfume العطور,SHOBI_ORIGINAL_GENERIC,https://leparfum.com.gr/en/niche-perfumes/dopamine-arabic-perfume-العطور,"The Shobi master and product page provide only Shobi's Dopamine Arabic Perfume name and floral/vanilla/fruity/jasmine profile, with no external original or inspired-by identity. No Fragrantica match should be invented."
331-PG,CRYSTAL WATER & WATER LILY - P&G,NON_PERSONAL_FRAGRANCE,https://www.talkingretail.com/products-news/bold-refreshes-laundry-sales-with-portfolio-relaunch-22-02-2010/,"Recovered source identity as P&G Bold 2in1 Crystal Rain & White Lily. P&G launched the scent in 2010 for its laundry detergent line; a P&G safety sheet confirms the exact Bold product and its former name Refreshing Water & Spa Minerals. Shobi's Crystal Water & Water Lily wording is a corrupted/reordered legacy label, not a personal perfume."
335-THCO,CASHMERE BLANC - THE WHITE COMPANY,LEGACY_REFERENCE_NO_EXACT_FRAGRANTICA_ENTRY,https://www.fragrantica.com/designers/The-White-Company.html,"Fragrantica currently lists 12 The White Company entries but no Cashmere Blanc. Shobi and independent White-Company-inspired fragrance-oil sellers preserve the Cashmere Blanc label, but available evidence does not justify substituting Blanc or any other exact Fragrantica perfume."
336-THCO,NARCISSUS NOIR - THE WHITE COMPANY,LEGACY_REFERENCE_NO_EXACT_FRAGRANTICA_ENTRY,https://www.fragrantica.com/designers/The-White-Company.html,"Fragrantica currently lists 12 The White Company entries but no Narcissus Noir. Shobi preserves this legacy reference, but no reliable exact Fragrantica page or ID has been recovered; do not substitute the distinct Noir entry."
